"id";"type_";"minimalProjectPrice";"numberOfEmployees";"dateOfFoundation";"locationOfHeadOffice";"fullNameOfTheChairman";"theMainEnvironmentForAds"
1;"Full-service";455531;353;"2022-08-10";"Luik";"Hashim Mccormick";"TV"
2;"Full-service";64121;389;"2021-11-26";"Waals-Brabant";"Olga Frederick";"TV"
3;"Digital";960914;92;"2022-08-22";"Oost-Vlaanderen";"George Burnett";"Internet"
4;"Digital";90630;269;"2022-10-09";"Henegouwen";"Daquan Cook";"Internet"
5;"Traditional";645746;382;"2022-06-27";"Idaho";"Kaye Mays";"Radio"
6;"Traditional";748835;288;"2022-03-24";"Maine";"Porter Silva";"Radio"
7;"Full-service";659195;199;"2021-05-23";"Idaho";"Miriam Valencia";"paper_editions"
8;"Full-service";198081;47;"2022-06-17";"Delaware";"Brittany Hampton";"paper_editions"
9;"Digital";564878;290;"2021-02-05";"Georgia";"David Roman";"TV"
10;"Digital";50136;321;"2022-08-25";"Oregon";"Silas Rosario";"TV"
11;"Traditional";403977;214;"2021-12-16";"Arkansas";"Clayton Hawkins";"Internet"
12;"Traditional";416050;167;"2021-06-17";"Missouri";"Nissim Hartman";"Internet"
13;"Full-service";898673;276;"2021-07-15";"Indiana";"Amena Shelton";"Radio"
14;"Full-service";928394;212;"2021-08-14";"West-Vlaanderen";"Barrett Trujillo";"Radio"
15;"Digital";147948;340;"2022-04-20";"Alabama";"Oprah Tyler";"paper_editions"
16;"Digital";636273;80;"2022-06-01";"Antwerpen";"Britanney Wyatt";"paper_editions"
17;"Traditional";595585;70;"2021-03-23";"Alabama";"Octavius Haley";"TV"
18;"Traditional";248104;71;"2022-06-08";"Florida";"Simone Blake";"TV"
19;"Full-service";938893;150;"2022-11-29";"Iowa";"Nigel Burks";"Internet"
20;"Full-service";272078;208;"2021-02-11";"Arizona";"Harper David";"Internet"
21;"Digital";874967;206;"2021-11-06";"Hawaii";"Buffy Larson";"Radio"
22;"Digital";581973;393;"2022-01-25";"Oregon";"Ruby Stephens";"Radio"
23;"Traditional";747334;161;"2021-06-04";"Michigan";"Jessamine Pittman";"paper_editions"
24;"Traditional";280847;172;"2022-04-21";"Waals-Brabant";"Destiny Trevino";"paper_editions"
25;"Full-service";844545;260;"2021-07-01";"Luxemburg";"Yael Clemons";"TV"
