id,type_,minimalProjectPrice,numberOfEmployees,dateOfFoundation,locationOfHeadOffice,fullNameOfTheChairman,theMainEnvironmentForAds
1,Full-service,834630,42,2021-07-03 13:05:43,Kansas,Quail Torres,TV
2,Full-service,409132,342,2022-07-15 21:39:20,Minnesota,Olivia Blackburn,TV
3,Digital,264245,284,2022-02-15 09:47:36,Luxemburg,Christian Parsons,Internet
4,Digital,883710,381,2022-08-18 06:42:11,Vermont,Zeus Gonzalez,Internet
5,Traditional,30783,184,2022-12-12 23:23:04,Oost-Vlaanderen,Ivana Fisher,Radio
6,Traditional,55251,260,2021-11-12 08:19:26,Nevada,Kane Banks,Radio
7,Full-service,398533,99,2022-05-19 23:10:08,Idaho,Felicia Cherry,paper_editions
8,Full-service,573888,301,2021-09-01 04:47:21,Georgia,Wayne Richard,paper_editions
9,Digital,422500,259,2022-06-29 20:59:48,Idaho,Castor Larsen,TV
10,Digital,320831,105,2022-04-28 14:35:36,Louisiana,Chantale Gill,TV
11,Traditional,650696,370,2022-10-21 15:23:17,Luxemburg,Francesca Church,Internet
12,Traditional,710754,60,2021-09-17 11:20:54,Kansas,Philip O'brien,Internet
13,Full-service,591527,264,2022-01-23 18:57:26,Wisconsin,Maya Foreman,Radio
14,Full-service,646406,76,2021-02-05 13:58:07,Kentucky,Nita Booker,Radio
15,Digital,195304,386,2022-01-22 03:02:41,Luik,Rhea Wynn,paper_editions
16,Digital,639951,59,2021-01-14 16:51:57,Brussels Hoofdstedelijk Gewest,Wyatt Baird,paper_editions
17,Traditional,159896,116,2021-10-14 07:17:42,Waals-Brabant,Lavinia Serrano,TV
18,Traditional,779461,108,2021-04-16 05:50:18,Namen,Edan Guy,TV
19,Full-service,660074,246,2022-01-26 12:02:23,Utah,Mia Mccormick,Internet
20,Full-service,358134,105,2022-01-24 18:58:47,Kansas,Emerald Duran,Internet
21,Digital,381259,243,2021-09-25 17:15:05,Texas,Benedict Mayo,Radio
22,Digital,203233,382,2022-07-30 14:38:54,Ohio,Heidi Rowe,Radio
23,Traditional,759283,379,2021-06-22 21:57:08,West-Vlaanderen,Leilani Drake,paper_editions
24,Traditional,880044,355,2022-10-23 01:17:43,Namen,Vivian Salas,paper_editions
25,Full-service,760827,161,2022-02-19 15:07:10,Vlaams-Brabant,Brynn Watkins,TV
26,Full-service,904198,234,2021-09-06 16:40:33,Brussels Hoofdstedelijk Gewest,Cody Patel,TV
27,Digital,883740,74,2021-05-07 19:52:43,Luik,Hasad Drake,Internet
28,Digital,215538,362,2022-05-21 22:04:07,Maine,Odessa Mooney,Internet
29,Traditional,833532,50,2022-09-18 13:09:26,West-Vlaanderen,Germaine Buchanan,Radio
30,Traditional,714226,238,2022-05-02 13:57:52,Alaska,Zena Duffy,Radio
31,Full-service,938491,309,2021-07-15 06:56:04,Waals-Brabant,Kane Rosa,paper_editions
32,Full-service,450381,341,2022-02-28 10:56:33,West-Vlaanderen,Leigh Tanner,paper_editions
33,Digital,529144,119,2021-07-01 12:59:51,Luxemburg,Gillian Barton,TV
34,Digital,262221,399,2022-03-27 00:12:52,Luxemburg,Chelsea Butler,TV
35,Traditional,595696,113,2022-03-11 00:01:27,Colorado,Ulric Cain,Internet
36,Traditional,464248,71,2021-06-23 15:33:58,Henegouwen,Lars Keith,Internet
37,Full-service,250066,82,2021-01-17 08:04:19,Vlaams-Brabant,Alika Ware,Radio
38,Full-service,708178,213,2021-07-23 08:31:41,Texas,Vivien Todd,Radio
39,Digital,183514,393,2022-07-20 02:32:27,Arkansas,Larissa Knapp,paper_editions
40,Digital,758529,57,2021-10-10 03:37:39,Massachusetts,Amena Warren,paper_editions
41,Traditional,917919,284,2021-10-19 21:06:29,Antwerpen,Lester Shannon,TV
42,Traditional,315718,188,2021-10-09 08:04:02,Waals-Brabant,Anika Stuart,TV
43,Full-service,451765,209,2022-05-11 00:51:06,Hawaii,Oliver Mcneil,Internet
44,Full-service,469100,146,2022-09-15 14:19:17,Namen,Malachi William,Internet
45,Digital,477618,324,2021-10-18 22:31:00,Vlaams-Brabant,Cherokee Bradshaw,Radio
46,Digital,885310,287,2021-08-11 11:57:36,Wyoming,Aretha Mercer,Radio
47,Traditional,149535,178,2021-05-11 14:31:33,Namen,May White,paper_editions
48,Traditional,111330,262,2021-12-07 23:25:39,Luxemburg,Adrian Curtis,paper_editions
49,Full-service,99447,254,2021-01-08 00:09:20,Oklahoma,Kirk Neal,TV
50,Full-service,350679,124,2022-12-08 00:42:09,Henegouwen,Sawyer Wolfe,TV
51,Digital,456562,193,2021-04-21 10:19:23,Namen,Daniel Hayden,Internet
52,Digital,200287,163,2021-05-19 05:40:28,Henegouwen,Tate Santana,Internet
53,Traditional,399480,344,2022-07-08 16:12:54,Texas,Kelly Cooper,Radio
54,Traditional,883984,199,2022-04-24 12:37:27,Henegouwen,Robin Ramirez,Radio
55,Full-service,820866,82,2021-10-16 02:20:40,West-Vlaanderen,Flavia Avery,paper_editions
56,Full-service,632153,352,2021-05-15 23:58:50,West-Vlaanderen,Solomon Bartlett,paper_editions
57,Digital,154812,314,2022-09-13 22:34:38,Texas,Chaney Bean,TV
58,Digital,711603,201,2021-02-04 17:51:45,Utah,Gil Grimes,TV
59,Traditional,204708,260,2021-04-26 20:32:16,Luxemburg,Imogene Mclaughlin,Internet
60,Traditional,195393,148,2022-03-03 03:53:40,Iowa,Karyn Hyde,Internet
61,Full-service,330140,97,2022-09-01 00:25:48,Oost-Vlaanderen,Anastasia Compton,Radio
62,Full-service,214444,169,2021-05-16 13:53:52,Antwerpen,Uriah May,Radio
63,Digital,657270,261,2022-07-12 03:57:21,Illinois,Charles Dotson,paper_editions
64,Digital,925785,326,2022-11-13 19:00:58,Waals-Brabant,Dalton Mclean,paper_editions
65,Traditional,637607,324,2021-12-27 19:42:20,Luxemburg,Jillian Henson,TV
66,Traditional,98862,228,2022-07-25 20:19:11,Vlaams-Brabant,Roth Schneider,TV
67,Full-service,786006,89,2022-06-22 17:00:28,Oost-Vlaanderen,Cooper Marquez,Internet
68,Full-service,634596,65,2022-10-31 05:20:32,Luik,Athena Wall,Internet
69,Digital,421223,319,2021-09-20 14:49:37,Nevada,Lee Sampson,Radio
70,Digital,626583,252,2021-01-16 17:11:40,Texas,Drake Frost,Radio
71,Traditional,495963,61,2021-12-30 05:25:21,Namen,Hall Beasley,paper_editions
72,Traditional,265080,97,2021-11-13 03:24:07,Brussels Hoofdstedelijk Gewest,Jacqueline Lowe,paper_editions
73,Full-service,83464,389,2022-09-13 05:08:59,Luik,Timothy Shields,TV
74,Full-service,927608,170,2021-03-05 13:40:57,Mississippi,Howard Hawkins,TV
75,Digital,457281,55,2021-10-19 16:58:51,Virginia,Mollie Mejia,Internet
76,Digital,660420,208,2022-02-14 12:42:40,Kansas,Joshua Slater,Internet
77,Traditional,52646,250,2021-10-08 16:00:24,Antwerpen,Kevyn Houston,Radio
78,Traditional,498817,294,2021-05-10 02:52:11,Henegouwen,Sopoline Norton,Radio
79,Full-service,900519,193,2021-10-02 20:54:31,Luik,Jelani Pickett,paper_editions
80,Full-service,614714,232,2022-11-16 02:05:40,Namen,Basil Chase,paper_editions
81,Digital,635420,259,2021-02-22 03:48:47,Vlaams-Brabant,Yoshi Carlson,TV
82,Digital,639644,327,2021-11-18 03:24:02,California,Martin Allen,TV
83,Traditional,473130,256,2022-09-05 17:08:58,West-Vlaanderen,Leandra Ingram,Internet
84,Traditional,462222,149,2022-10-01 23:34:05,Arizona,Raya Vinson,Internet
85,Full-service,20322,257,2021-02-18 06:28:39,Luik,Brendan Bradford,Radio
86,Full-service,512196,172,2021-05-03 02:50:09,Luik,April Cardenas,Radio
87,Digital,231363,206,2022-05-25 01:35:23,Oost-Vlaanderen,Alfreda Holder,paper_editions
88,Digital,993621,153,2021-11-18 10:12:21,Alaska,Connor Hernandez,paper_editions
89,Traditional,732006,306,2021-08-14 03:45:07,Waals-Brabant,Dieter Lara,TV
90,Traditional,42724,233,2021-02-15 21:55:41,Alabama,Marcia Small,TV
91,Full-service,731697,59,2022-02-09 20:05:47,Pennsylvania,Cameran Carlson,Internet
92,Full-service,399926,371,2021-05-10 00:14:47,Indiana,Christine Moran,Internet
93,Digital,205659,168,2021-05-11 17:46:22,Ohio,Yoshio Kent,Radio
94,Digital,246331,191,2021-01-25 21:19:35,California,Barbara Franks,Radio
95,Traditional,528933,75,2022-04-21 09:29:29,Henegouwen,Freya Tyson,paper_editions
96,Traditional,781233,222,2022-05-14 07:33:33,Idaho,Melyssa Frederick,paper_editions
97,Full-service,881468,395,2022-09-01 20:11:18,Hawaii,Caldwell Hicks,TV
98,Full-service,120447,169,2021-09-12 19:29:55,Hawaii,Kiara Lyons,TV
99,Digital,50152,109,2022-08-12 22:47:52,Nevada,Travis Blanchard,Internet
100,Digital,91676,107,2022-01-20 06:15:06,Luxemburg,Damian Garrison,Internet
